"codelist","concept_id"
"frailty_fracture",4004476
"frailty_fracture",4004477
"frailty_fracture",4001635
"frailty_fracture",4069524
"frailty_fracture",4013604
"frailty_fracture",4013605
"frailty_fracture",4008220
"frailty_fracture",4013158
"frailty_fracture",4008221
"frailty_fracture",4009911
"frailty_fracture",4013159
"frailty_fracture",4013606
"frailty_fracture",4008222
"frailty_fracture",4008352
"frailty_fracture",4009912
"frailty_fracture",4013607
"frailty_fracture",4008353
"frailty_fracture",4009913
"frailty_fracture",4013608
"frailty_fracture",4009914
"frailty_fracture",4013160
"frailty_fracture",4009915
"frailty_fracture",4009916
"frailty_fracture",4013161
"frailty_fracture",4009917
"frailty_fracture",4013610
"frailty_fracture",4013305
"frailty_fracture",4013306
"frailty_fracture",4013759
"frailty_fracture",4013761
"frailty_fracture",4010072
"frailty_fracture",4010074
"frailty_fracture",4013312
"frailty_fracture",4008519
"frailty_fracture",4008520
"frailty_fracture",4013897
"frailty_fracture",4013898
"frailty_fracture",4013323
"frailty_fracture",4008523
"frailty_fracture",4010224
"frailty_fracture",4013900
"frailty_fracture",4008524
"frailty_fracture",4013906
"frailty_fracture",4013907
"frailty_fracture",4010228
"frailty_fracture",4013328
"frailty_fracture",4013908
"frailty_fracture",4010231
"frailty_fracture",4013329
"frailty_fracture",4013330
"frailty_fracture",4013910
"frailty_fracture",4013920
"frailty_fracture",440230
"frailty_fracture",441699
"frailty_fracture",4009302
"frailty_fracture",4010239
"frailty_fracture",4013458
"frailty_fracture",4009431
"frailty_fracture",432472
"frailty_fracture",437690
"frailty_fracture",4013921
"frailty_fracture",4009433
"frailty_fracture",4009434
"frailty_fracture",4013922
"frailty_fracture",4010371
"frailty_fracture",4014064
"frailty_fracture",4014065
"frailty_fracture",4014066
"frailty_fracture",4010373
"frailty_fracture",4013470
"frailty_fracture",4009442
"frailty_fracture",4013472
"frailty_fracture",4009444
"frailty_fracture",4009445
"frailty_fracture",4009446
"frailty_fracture",4013476
"frailty_fracture",4010378
"frailty_fracture",4009449
"frailty_fracture",4014075
"frailty_fracture",4014076
"frailty_fracture",4010379
"frailty_fracture",4010380
"frailty_fracture",4010384
"frailty_fracture",4014079
"frailty_fracture",4014202
"frailty_fracture",4015868
"frailty_fracture",4010382
"frailty_fracture",4010383
"frailty_fracture",4013477
"frailty_fracture",4015494
"frailty_fracture",4015495
"frailty_fracture",4009606
"frailty_fracture",4009607
"frailty_fracture",4046019
"frailty_fracture",4047787
"frailty_fracture",4047788
"frailty_fracture",4129394
"frailty_fracture",4053654
"frailty_fracture",4129420
"frailty_fracture",4240329
"frailty_fracture",433856
"frailty_fracture",77702
"frailty_fracture",78276
"frailty_fracture",440853
"frailty_fracture",4249740
"frailty_fracture",4253933
"frailty_fracture",4328220
"frailty_fracture",4276036
"frailty_fracture",436544
"frailty_fracture",77115
"frailty_fracture",436250
"frailty_fracture",432747
"frailty_fracture",444422
"frailty_fracture",136834
"frailty_fracture",80854
"frailty_fracture",4187825
"frailty_fracture",194180
"frailty_fracture",195948
"frailty_fracture",435374
"frailty_fracture",4281541
"frailty_fracture",442765
"frailty_fracture",77124
"frailty_fracture",4218884
"frailty_fracture",4222457
"frailty_fracture",4311941
"frailty_fracture",75091
"frailty_fracture",76240
"frailty_fracture",4010232
"frailty_fracture",4097991
"frailty_fracture",4135095
"frailty_fracture",4135638
"frailty_fracture",760412
"frailty_fracture",37310090
"frailty_fracture",37172983
"frailty_fracture",37168797
"frailty_fracture",37168798
"frailty_fracture",37170182
"frailty_fracture",37170183
"frailty_fracture",37163751
"frailty_fracture",37163847
"frailty_fracture",37167472
"frailty_fracture",1077291
"frailty_fracture",1077301
"frailty_fracture",1077304
"frailty_fracture",1077307
"frailty_fracture",1077318
"frailty_fracture",1077319
"frailty_fracture",4013325
"frailty_fracture",4013903
"frailty_fracture",4013904
"frailty_fracture",4167913
"frailty_fracture",4209671
"frailty_fracture",4117116
"frailty_fracture",4117117
"frailty_fracture",4103168
"frailty_fracture",4201092
"frailty_fracture",4145731
"frailty_fracture",4141395
"frailty_fracture",4146169
"frailty_fracture",4206885
"frailty_fracture",4210556
"frailty_fracture",437394
"frailty_fracture",434500
"frailty_fracture",436248
"frailty_fracture",4263360
"frailty_fracture",80861
"frailty_fracture",4309930
"frailty_fracture",4308849
"frailty_fracture",4106182
"frailty_fracture",437117
"frailty_fracture",436551
"frailty_fracture",74768
"frailty_fracture",4263321
"frailty_fracture",4296627
"frailty_fracture",437692
"frailty_fracture",37160015
"frailty_fracture",37160022
"frailty_fracture",37168313
"frailty_fracture",37168382
"frailty_fracture",4012433
"frailty_fracture",4009608
"frailty_fracture",4015496
"frailty_fracture",4015975
"frailty_fracture",4015499
"frailty_fracture",4015500
"frailty_fracture",4009609
"frailty_fracture",4015977
"frailty_fracture",4015502
"frailty_fracture",4009610
"frailty_fracture",4015979
"frailty_fracture",4015980
"frailty_fracture",4015981
"frailty_fracture",4012437
"frailty_fracture",4015503
"frailty_fracture",4017655
"frailty_fracture",4017656
"frailty_fracture",4018222
"frailty_fracture",4012142
"frailty_fracture",4012143
"frailty_fracture",4017657
"frailty_fracture",4017658
"frailty_fracture",4017659
"frailty_fracture",4015064
"frailty_fracture",4012144
"frailty_fracture",4015066
"frailty_fracture",4018224
"frailty_fracture",4015067
"frailty_fracture",4015068
"frailty_fracture",4017661
"frailty_fracture",4015069
"frailty_fracture",4012145
"frailty_fracture",4018226
"frailty_fracture",4012146
"frailty_fracture",4018228
"frailty_fracture",4018229
"frailty_fracture",4012148
"frailty_fracture",4012149
"frailty_fracture",4015070
"frailty_fracture",4018943
"frailty_fracture",4014204
"frailty_fracture",4015210
"frailty_fracture",4018948
"frailty_fracture",4027460
"frailty_fracture",761933
"frailty_fracture",37207823
"frailty_fracture",73616
"frailty_fracture",75932
"frailty_fracture",433046
"frailty_fracture",4183283
"frailty_fracture",77691
"frailty_fracture",4263567
"frailty_fracture",437123
"frailty_fracture",75375
"frailty_fracture",75943
"frailty_fracture",74182
"frailty_fracture",4300192
"frailty_fracture",77405
"frailty_fracture",437122
"frailty_fracture",76838
"frailty_fracture",440556
"frailty_fracture",4164959
"frailty_fracture",4165404
"frailty_fracture",434767
"frailty_fracture",77129
"frailty_fracture",433886
"frailty_fracture",74179
"frailty_fracture",75096
"frailty_fracture",137695
"frailty_fracture",138876
"frailty_fracture",141143
"frailty_fracture",141972
"frailty_fracture",312462
"frailty_fracture",313608
"frailty_fracture",761936
"frailty_fracture",764679
"frailty_fracture",764899
"frailty_fracture",1244269
"frailty_fracture",1244271
"frailty_fracture",1244272
"frailty_fracture",1244273
"frailty_fracture",4008216
"frailty_fracture",4008217
"frailty_fracture",4008218
"frailty_fracture",4008373
"frailty_fracture",4008374
"frailty_fracture",4008376
"frailty_fracture",4009296
"frailty_fracture",4009908
"frailty_fracture",4009909
"frailty_fracture",4009910
"frailty_fracture",4010065
"frailty_fracture",4010069
"frailty_fracture",4013155
"frailty_fracture",4013156
"frailty_fracture",4013157
"frailty_fracture",4013173
"frailty_fracture",4013174
"frailty_fracture",4013596
"frailty_fracture",4013597
"frailty_fracture",4013598
"frailty_fracture",4013599
"frailty_fracture",4013601
"frailty_fracture",4013602
"frailty_fracture",4013603
"frailty_fracture",4013748
"frailty_fracture",4013751
"frailty_fracture",4013752
"frailty_fracture",4013755
"frailty_fracture",4028680
"frailty_fracture",4053828
"frailty_fracture",4068133
"frailty_fracture",4077752
"frailty_fracture",4083820
"frailty_fracture",4083821
"frailty_fracture",4085376
"frailty_fracture",4085377
"frailty_fracture",4085893
"frailty_fracture",4085894
"frailty_fracture",4085895
"frailty_fracture",4085896
"frailty_fracture",4085897
"frailty_fracture",4106181
"frailty_fracture",4138273
"frailty_fracture",4150352
"frailty_fracture",4152842
"frailty_fracture",4164229
"frailty_fracture",4165727
"frailty_fracture",4195932
"frailty_fracture",4198245
"frailty_fracture",4206888
"frailty_fracture",4207935
"frailty_fracture",4209549
"frailty_fracture",4210437
"frailty_fracture",4300061
"frailty_fracture",4301509
"frailty_fracture",4309534
"frailty_fracture",36715679
"frailty_fracture",36715680
"frailty_fracture",36715681
"frailty_fracture",36715682
"frailty_fracture",36715683
"frailty_fracture",36715684
"frailty_fracture",36715685
"frailty_fracture",36715686
"frailty_fracture",36715687
"frailty_fracture",36715688
"frailty_fracture",36715689
"frailty_fracture",36717470
"frailty_fracture",44783966
"frailty_fracture",45757303
"frailty_fracture",45757304
"frailty_fracture",45757305
"frailty_fracture",45757306
"frailty_fracture",45757311
"frailty_fracture",45757312
"frailty_fracture",45757313
"frailty_fracture",45757314
"frailty_fracture",45757315
"frailty_fracture",45757329
"frailty_fracture",45772066
"frailty_fracture",46270329
"frailty_fracture",46270391
"egfr",40771922
"egfr",3009224
"egfr",3014444
"egfr",36203240
"egfr",37208635
"egfr",37393011
"egfr",37393012
"egfr",40758885
"egfr",40758886
"egfr",40758887
"egfr",40758888
"egfr",40758889
"egfr",40758890
"egfr",40758891
"egfr",44808279
"egfr",46285137
"egfr",46285138
"creatinine",3020564
"creatinine",1001495
"creatinine",1001560
"creatinine",1001562
"creatinine",1001572
"creatinine",1001616
"creatinine",1001653
"creatinine",1001815
"creatinine",1001909
"creatinine",1001982
"creatinine",1002191
"creatinine",1002217
"creatinine",1002338
"creatinine",1002369
"creatinine",1002441
"creatinine",1076836
"creatinine",1091068
"creatinine",1091079
"creatinine",1091115
"creatinine",1091168
"creatinine",1091468
"creatinine",1091518
"creatinine",1091554
"creatinine",1091586
"creatinine",1091718
"creatinine",1091750
"creatinine",1091788
"creatinine",1091938
"creatinine",1091942
"creatinine",1091964
"creatinine",1092015
"creatinine",1092102
"creatinine",1092127
"creatinine",1092274
"creatinine",1092377
"creatinine",1092444
"creatinine",1175719
"creatinine",1175894
"creatinine",1259616
"creatinine",1259999
"creatinine",1260102
"creatinine",1260121
"creatinine",1616662
"creatinine",1616671
"creatinine",1616736
"creatinine",1616770
"creatinine",1616777
"creatinine",1617046
"creatinine",1617351
"creatinine",1617497
"creatinine",1619025
"creatinine",1619026
"creatinine",1988208
"creatinine",1988213
"creatinine",1988671
"creatinine",1988702
"creatinine",1989084
"creatinine",1989445
"creatinine",1989592
"creatinine",1989667
"creatinine",3000058
"creatinine",3000213
"creatinine",3000387
"creatinine",3000406
"creatinine",3000478
"creatinine",3000484
"creatinine",3000487
"creatinine",3000524
"creatinine",3000715
"creatinine",3000819
"creatinine",3000837
"creatinine",3000955
"creatinine",3000989
"creatinine",3001097
"creatinine",3001251
"creatinine",3001271
"creatinine",3001349
"creatinine",3001380
"creatinine",3001464
"creatinine",3001543
"creatinine",3001544
"creatinine",3001582
"creatinine",3001585
"creatinine",3001802
"creatinine",3001876
"creatinine",3001927
"creatinine",3002016
"creatinine",3002028
"creatinine",3002159
"creatinine",3002160
"creatinine",3002238
"creatinine",3002247
"creatinine",3002294
"creatinine",3002363
"creatinine",3002380
"creatinine",3002481
"creatinine",3002540
"creatinine",3002553
"creatinine",3002639
"creatinine",3002674
"creatinine",3002812
"creatinine",3002827
"creatinine",3002920
"creatinine",3002939
"creatinine",3002969
"creatinine",3003046
"creatinine",3003124
"creatinine",3003326
"creatinine",3003415
"creatinine",3003447
"creatinine",3003450
"creatinine",3003496
"creatinine",3003634
"creatinine",3003646
"creatinine",3003678
"creatinine",3003749
"creatinine",3003803
"creatinine",3003900
"creatinine",3003967
"creatinine",3004002
"creatinine",3004068
"creatinine",3004156
"creatinine",3004171
"creatinine",3004239
"creatinine",3004360
"creatinine",3004513
"creatinine",3004520
"creatinine",3004661
"creatinine",3004690
"creatinine",3004691
"creatinine",3004748
"creatinine",3004870
"creatinine",3004917
"creatinine",3004935
"creatinine",3005031
"creatinine",3005032
"creatinine",3005040
"creatinine",3005292
"creatinine",3005349
"creatinine",3005424
"creatinine",3005474
"creatinine",3005519
"creatinine",3005577
"creatinine",3005717
"creatinine",3005746
"creatinine",3005770
"creatinine",3005847
"creatinine",3005978
"creatinine",3006015
"creatinine",3006029
"creatinine",3006047
"creatinine",3006061
"creatinine",3006173
"creatinine",3006179
"creatinine",3006181
"creatinine",3006248
"creatinine",3006254
"creatinine",3006318
"creatinine",3006321
"creatinine",3006442
"creatinine",3006506
"creatinine",3006508
"creatinine",3006563
"creatinine",3006596
"creatinine",3006624
"creatinine",3006701
"creatinine",3006747
"creatinine",3006873
"creatinine",3006940
"creatinine",3007014
"creatinine",3007081
"creatinine",3007107
